family,relative_path,messages,malformed_fragments,speakers,message_types
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-01-0de86a.md,6,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-01-e73421.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-02-c0d0af.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-03-5053f8.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-04-027758.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-04-d3d153.md,6,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-05-828c05.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-06-38b0b5.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-07-046310.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-07-d51778.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-08-b6b1e7.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-09-7e29bf.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-10-26e957.md,6,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-11-268652.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-11-f9518d.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-12-b5c66d.md,7,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-13-7166c0.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-14-5d537e.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-15-0bd7e8.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-15-e47fb2.md,6,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-16-e6ab5e.md,6,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-17-ca99ac.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-18-5a0c16.md,6,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-19-1e1783.md,6,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-19-f89713.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-20-bd5b2f.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-21-aac3c8.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-22-6b66c5.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-23-0fa896.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-23-de07ba.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-24-abc09d.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-25-6f3597.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-26-4c9f5d.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-26-f9a3b8.md,6,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-27-cb132b.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-28-7401ca.md,7,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-29-1914d9.md,7,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-30-4eadc4.md,6,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-31-175327.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-01-31-c95fff.md,10,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-02-01-860e96.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-02-02-20ddf3.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-02-02-e84eb4.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-02-03-5fb156.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-02-04-10618f.md,6,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-02-04-f3a776.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-02-05-9bad5d.md,9,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-02-06-4deb62.md,6,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-02-06-f4789c.md,8,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-02-07-87beed.md,6,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-02-08-3a5bad.md,6,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-02-08-fddd4d.md,6,0,2,text
chat_line_oa,docs/chat_line_oa/CHAT-LO-2024-02-09-a0e9bf.md,6,0,2,text
